x,y,r,ZIP
337,71245,17678,10001
718,30844,70878,10002
490,89999,53609,10003
45,110184,1271,10004
96,115133,1517,10005
30,111220,972,10006
81,145459,3520,10007
597,56615,56975,10009
349,93702,27322,10010
596,92359,45899,10011
226,81317,26464,10012
282,69836,24723,10013
373,98450,32867,10014
727,96760,49904,10016
187,102524,16231,10017
232,84799,4255,10018
560,84786,39048,10019
726,113800,44173,10021
422,93107,26460,10022
642,108286,59002,10023
782,110999,61485,10024
984,65001,96117,10025
413,31542,25925,10026
565,38550,57049,10027
595,105456,40914,10028
943,32877,76271,10029
289,28525,26058,10030
576,31526,59450,10031
757,29536,54744,10032
657,36463,59049,10033
366,37866,37785,10034
515,23302,31078,10035
355,62393,18660,10036
241,40080,16994,10037
219,55937,15435,10038
304,28692,21738,10039
487,37107,46585,10040
149,102486,9519,10044
492,108155,31500,10065
72,54236,1843,10069
452,112268,25187,10075
737,105187,59434,10128
61,98938,4298,10280
501,56776,38618,10301
230,59919,16580,10302
353,54758,22842,10303
763,46260,36662,10304
652,58938,37014,10305
884,75212,54812,10306
217,92781,11662,10307
474,75668,23972,10308
522,84917,27255,10309
336,65263,22793,10310
916,84524,55963,10312
1408,78414,85260,10314
701,22970,37570,10451
942,27673,71254,10452
983,26324,77913,10453
498,18024,30078,10454
495,22829,37013,10455
1054,21955,75975,10456
879,25474,68492,10457
933,25642,77840,10458
618,22843,38847,10459
697,23645,53752,10460
993,47716,48081,10461
1160,46085,71130,10462
909,52302,62456,10463
95,1520,109,10464
960,61446,41282,10465
1013,48470,68662,10466
1625,35375,94492,10467
939,28765,76073,10468
1304,57183,63256,10469
229,53208,15778,10470
375,56910,18127,10471
765,32632,64864,10472
887,36132,52624,10473
136,24244,11365,10474
705,47895,38149,10475
461,72714,27816,11429
316,75304,13390,11004
470,39955,22556,11101
352,48399,35943,11102
309,52495,44730,11103
277,50944,29376,11104
346,54570,42375,11105
399,44031,40963,11106
73,117750,843,11109
601,92175,48101,11201
870,47788,78886,11203
1298,42764,74185,11204
462,42904,35648,11205
816,26440,69454,11206
911,34729,87324,11207
923,33876,84692,11208
718,56907,69646,11209
953,55001,67349,11210
1335,37632,84434,11211
758,27911,85400,11212
879,35085,65932,11213
796,35964,78896,11214
559,81331,59307,11215
445,37290,55021,11216
369,72611,35641,11217
975,48011,75418,11218
1644,34970,85825,11219
748,37030,92398,11220
644,34005,75020,11221
333,54367,40003,11222
973,39421,74659,11223
446,34958,49491,11224
608,39782,61858,11225
887,38763,106461,11226
341,55200,40169,11228
890,49911,80407,11229
1487,47496,88449,11230
351,73075,33174,11231
264,34808,22177,11232
576,35423,63541,11233
1079,67953,81033,11234
967,44730,79197,11235
1153,59568,94098,11236
408,35355,48837,11237
514,61469,49085,11238
228,24882,14621,11239
483,74097,39650,11357
588,38624,74434,11355
439,50019,54286,11354
331,67808,20443,11356
358,66312,37044,11358
230,72854,18363,11360
270,70983,28648,11361
211,74827,17509,11362
93,92955,6849,11363
312,65777,32272,11364
490,61097,37503,11365
282,76377,13795,11366
706,53565,39791,11367
1861,43963,95662,11368
728,54732,37429,11369
1007,37574,28920,11370
1102,48149,70946,11372
1425,44301,99884,11373
784,49708,39224,11374
1203,69446,70142,11375
972,49979,87015,11377
412,59363,33487,11378
504,61824,33886,11379
1139,47470,95262,11385
368,69132,17909,11411
663,67396,36433,11412
725,77058,39571,11413
451,70965,28120,11414
343,55983,19423,11415
311,46713,21053,11416
418,56103,28748,11417
541,57063,36587,11418
529,49705,44065,11419
656,55056,41750,11420
508,55094,37664,11421
560,68823,26308,11422
426,64756,31575,11423
313,74452,17445,11426
459,57224,21275,11427
295,71127,20923,11428
952,51641,52603,11434
793,50291,54915,11432
408,41780,28391,11433
799,44722,47317,11435
240,62297,18291,11436
1071,35645,54005,11691
289,42385,15850,11692
214,54874,11120,11693
397,75157,19299,11694
80,82291,4206,11697
